Running prime number generator program on 30 CPU cores
65582 11047
number of parameters: 1.69M
Adjusting learning rate of group 0 to 1.0000e-04.
At iter 10/65582, epoch 1, the losses are 61.206 (train). the base losses are 103.626 (train). The time used is 14.209s. 
At iter 20/65582, epoch 1, the losses are 38.058 (train). the base losses are 102.883 (train). The time used is 15.216s. 
At iter 30/65582, epoch 1, the losses are 15.300 (train). the base losses are 103.891 (train). The time used is 12.606s. 
At iter 40/65582, epoch 1, the losses are 8.970 (train). the base losses are 105.055 (train). The time used is 7.080s. 
At iter 50/65582, epoch 1, the losses are 5.168 (train). the base losses are 103.892 (train). The time used is 17.722s. 
At iter 50/65582, epoch 1, the losses are 4.472 (test). the base losses are 102.617 (test). 
At iter 60/65582, epoch 1, the losses are 4.340 (train). the base losses are 103.593 (train). The time used is 28.007s. 
At iter 70/65582, epoch 1, the losses are 4.347 (train). the base losses are 103.080 (train). The time used is 14.662s. 
At iter 80/65582, epoch 1, the losses are 4.311 (train). the base losses are 101.163 (train). The time used is 12.663s. 
At iter 90/65582, epoch 1, the losses are 4.331 (train). the base losses are 103.499 (train). The time used is 13.347s. 
At iter 100/65582, epoch 1, the losses are 4.273 (train). the base losses are 104.373 (train). The time used is 17.813s. 
At iter 100/65582, epoch 1, the losses are 4.283 (test). the base losses are 104.173 (test). 
At iter 110/65582, epoch 1, the losses are 4.288 (train). the base losses are 103.346 (train). The time used is 24.338s. 
At iter 120/65582, epoch 1, the losses are 4.250 (train). the base losses are 102.676 (train). The time used is 7.372s. 
At iter 130/65582, epoch 1, the losses are 4.335 (train). the base losses are 102.101 (train). The time used is 10.867s. 
At iter 140/65582, epoch 1, the losses are 4.304 (train). the base losses are 103.836 (train). The time used is 12.626s. 
At iter 150/65582, epoch 1, the losses are 4.290 (train). the base losses are 102.709 (train). The time used is 7.285s. 
At iter 150/65582, epoch 1, the losses are 4.381 (test). the base losses are 105.564 (test). 
At iter 160/65582, epoch 1, the losses are 4.330 (train). the base losses are 102.454 (train). The time used is 20.126s. 
At iter 170/65582, epoch 1, the losses are 4.292 (train). the base losses are 102.359 (train). The time used is 10.893s. 
At iter 180/65582, epoch 1, the losses are 4.313 (train). the base losses are 104.792 (train). The time used is 18.535s. 
At iter 190/65582, epoch 1, the losses are 4.348 (train). the base losses are 102.466 (train). The time used is 11.034s. 
At iter 200/65582, epoch 1, the losses are 4.337 (train). the base losses are 103.123 (train). The time used is 13.714s. 
At iter 200/65582, epoch 1, the losses are 4.343 (test). the base losses are 103.342 (test). 
At iter 210/65582, epoch 1, the losses are 4.277 (train). the base losses are 102.340 (train). The time used is 24.492s. 
