Running prime number generator program on 30 CPU cores
65582 11047
number of parameters: 1.59M
Adjusting learning rate of group 0 to 1.0000e-04.
At iter 10/65582, epoch 1, the losses are 75.187 (train). the base losses are 103.161 (train). The time used is 58.007s. 
At iter 20/65582, epoch 1, the losses are 71.793 (train). the base losses are 103.278 (train). The time used is 42.328s. 
At iter 30/65582, epoch 1, the losses are 73.475 (train). the base losses are 104.355 (train). The time used is 34.753s. 
At iter 40/65582, epoch 1, the losses are 66.980 (train). the base losses are 102.435 (train). The time used is 28.520s. 
At iter 50/65582, epoch 1, the losses are 69.771 (train). the base losses are 103.743 (train). The time used is 28.113s. 
At iter 50/65582, epoch 1, the losses are 68.648 (test). the base losses are 104.078 (test). 
At iter 60/65582, epoch 1, the losses are 68.257 (train). the base losses are 104.169 (train). The time used is 44.597s. 
At iter 70/65582, epoch 1, the losses are 61.469 (train). the base losses are 104.528 (train). The time used is 29.197s. 
At iter 80/65582, epoch 1, the losses are 58.976 (train). the base losses are 104.874 (train). The time used is 26.001s. 
At iter 90/65582, epoch 1, the losses are 57.336 (train). the base losses are 101.738 (train). The time used is 29.717s. 
At iter 100/65582, epoch 1, the losses are 54.901 (train). the base losses are 102.632 (train). The time used is 31.376s. 
At iter 100/65582, epoch 1, the losses are 51.570 (test). the base losses are 104.194 (test). 
At iter 110/65582, epoch 1, the losses are 49.451 (train). the base losses are 103.630 (train). The time used is 50.059s. 
At iter 120/65582, epoch 1, the losses are 45.986 (train). the base losses are 104.920 (train). The time used is 27.233s. 
At iter 130/65582, epoch 1, the losses are 43.894 (train). the base losses are 104.956 (train). The time used is 25.915s. 
At iter 140/65582, epoch 1, the losses are 39.903 (train). the base losses are 101.297 (train). The time used is 31.556s. 
At iter 150/65582, epoch 1, the losses are 37.066 (train). the base losses are 104.142 (train). The time used is 30.075s. 
At iter 150/65582, epoch 1, the losses are 37.124 (test). the base losses are 103.377 (test). 
At iter 160/65582, epoch 1, the losses are 34.677 (train). the base losses are 104.250 (train). The time used is 42.481s. 
At iter 170/65582, epoch 1, the losses are 34.040 (train). the base losses are 102.978 (train). The time used is 28.447s. 
At iter 180/65582, epoch 1, the losses are 33.164 (train). the base losses are 101.581 (train). The time used is 29.041s. 
At iter 190/65582, epoch 1, the losses are 30.208 (train). the base losses are 103.862 (train). The time used is 24.467s. 
At iter 200/65582, epoch 1, the losses are 26.817 (train). the base losses are 102.203 (train). The time used is 25.065s. 
At iter 200/65582, epoch 1, the losses are 27.929 (test). the base losses are 102.649 (test). 
At iter 210/65582, epoch 1, the losses are 25.879 (train). the base losses are 103.654 (train). The time used is 35.694s. 
At iter 220/65582, epoch 1, the losses are 26.146 (train). the base losses are 101.166 (train). The time used is 26.579s. 
At iter 230/65582, epoch 1, the losses are 22.726 (train). the base losses are 102.463 (train). The time used is 26.961s. 
At iter 240/65582, epoch 1, the losses are 20.588 (train). the base losses are 103.015 (train). The time used is 22.974s. 
At iter 250/65582, epoch 1, the losses are 19.631 (train). the base losses are 101.056 (train). The time used is 23.340s. 
At iter 250/65582, epoch 1, the losses are 18.872 (test). the base losses are 100.590 (test). 
At iter 260/65582, epoch 1, the losses are 17.395 (train). the base losses are 102.768 (train). The time used is 33.176s. 
At iter 270/65582, epoch 1, the losses are 16.708 (train). the base losses are 103.873 (train). The time used is 20.661s. 
At iter 280/65582, epoch 1, the losses are 16.172 (train). the base losses are 103.334 (train). The time used is 26.647s. 
At iter 290/65582, epoch 1, the losses are 15.070 (train). the base losses are 104.531 (train). The time used is 18.998s. 
At iter 300/65582, epoch 1, the losses are 14.855 (train). the base losses are 101.620 (train). The time used is 21.211s. 
At iter 300/65582, epoch 1, the losses are 14.197 (test). the base losses are 104.658 (test). 
At iter 310/65582, epoch 1, the losses are 14.185 (train). the base losses are 103.238 (train). The time used is 29.430s. 
At iter 320/65582, epoch 1, the losses are 13.868 (train). the base losses are 103.155 (train). The time used is 19.072s. 
At iter 330/65582, epoch 1, the losses are 13.337 (train). the base losses are 102.882 (train). The time used is 16.362s. 
At iter 340/65582, epoch 1, the losses are 13.081 (train). the base losses are 102.376 (train). The time used is 15.400s. 
At iter 350/65582, epoch 1, the losses are 12.639 (train). the base losses are 102.430 (train). The time used is 18.700s. 
At iter 350/65582, epoch 1, the losses are 12.597 (test). the base losses are 104.469 (test). 
At iter 360/65582, epoch 1, the losses are 12.437 (train). the base losses are 103.402 (train). The time used is 24.156s. 
At iter 370/65582, epoch 1, the losses are 12.077 (train). the base losses are 104.213 (train). The time used is 22.635s. 
At iter 380/65582, epoch 1, the losses are 11.644 (train). the base losses are 101.734 (train). The time used is 18.828s. 
At iter 390/65582, epoch 1, the losses are 11.152 (train). the base losses are 103.358 (train). The time used is 22.359s. 
At iter 400/65582, epoch 1, the losses are 10.817 (train). the base losses are 103.950 (train). The time used is 21.613s. 
At iter 400/65582, epoch 1, the losses are 10.513 (test). the base losses are 103.277 (test). 
At iter 410/65582, epoch 1, the losses are 10.805 (train). the base losses are 103.453 (train). The time used is 28.616s. 
At iter 420/65582, epoch 1, the losses are 10.609 (train). the base losses are 101.649 (train). The time used is 15.764s. 
At iter 430/65582, epoch 1, the losses are 9.912 (train). the base losses are 103.260 (train). The time used is 14.717s. 
At iter 440/65582, epoch 1, the losses are 9.890 (train). the base losses are 103.281 (train). The time used is 25.099s. 
At iter 450/65582, epoch 1, the losses are 9.834 (train). the base losses are 103.638 (train). The time used is 15.237s. 
At iter 450/65582, epoch 1, the losses are 9.564 (test). the base losses are 103.658 (test). 
At iter 460/65582, epoch 1, the losses are 9.476 (train). the base losses are 103.907 (train). The time used is 29.073s. 
At iter 470/65582, epoch 1, the losses are 9.206 (train). the base losses are 104.942 (train). The time used is 15.294s. 
At iter 480/65582, epoch 1, the losses are 8.972 (train). the base losses are 100.590 (train). The time used is 19.709s. 
At iter 490/65582, epoch 1, the losses are 8.933 (train). the base losses are 102.775 (train). The time used is 22.699s. 
At iter 500/65582, epoch 1, the losses are 8.658 (train). the base losses are 103.497 (train). The time used is 18.992s. 
At iter 500/65582, epoch 1, the losses are 8.628 (test). the base losses are 103.324 (test). 
At iter 510/65582, epoch 1, the losses are 8.568 (train). the base losses are 103.132 (train). The time used is 23.098s. 
At iter 520/65582, epoch 1, the losses are 8.338 (train). the base losses are 103.834 (train). The time used is 26.332s. 
At iter 530/65582, epoch 1, the losses are 7.988 (train). the base losses are 104.034 (train). The time used is 14.512s. 
At iter 540/65582, epoch 1, the losses are 8.160 (train). the base losses are 103.925 (train). The time used is 22.534s. 
At iter 550/65582, epoch 1, the losses are 8.241 (train). the base losses are 103.997 (train). The time used is 10.853s. 
At iter 550/65582, epoch 1, the losses are 8.002 (test). the base losses are 103.084 (test). 
At iter 560/65582, epoch 1, the losses are 7.921 (train). the base losses are 103.300 (train). The time used is 32.959s. 
At iter 570/65582, epoch 1, the losses are 7.661 (train). the base losses are 103.460 (train). The time used is 15.215s. 
At iter 580/65582, epoch 1, the losses are 7.737 (train). the base losses are 101.432 (train). The time used is 14.553s. 
At iter 590/65582, epoch 1, the losses are 7.600 (train). the base losses are 102.470 (train). The time used is 16.748s. 
At iter 600/65582, epoch 1, the losses are 7.376 (train). the base losses are 105.252 (train). The time used is 13.114s. 
At iter 600/65582, epoch 1, the losses are 7.547 (test). the base losses are 103.647 (test). 
At iter 610/65582, epoch 1, the losses are 7.397 (train). the base losses are 102.547 (train). The time used is 24.907s. 
At iter 620/65582, epoch 1, the losses are 7.339 (train). the base losses are 103.198 (train). The time used is 14.905s. 
At iter 630/65582, epoch 1, the losses are 6.967 (train). the base losses are 104.110 (train). The time used is 11.297s. 
At iter 640/65582, epoch 1, the losses are 6.891 (train). the base losses are 103.648 (train). The time used is 10.790s. 
At iter 650/65582, epoch 1, the losses are 6.972 (train). the base losses are 103.382 (train). The time used is 14.129s. 
At iter 650/65582, epoch 1, the losses are 7.001 (test). the base losses are 103.312 (test). 
At iter 660/65582, epoch 1, the losses are 6.848 (train). the base losses are 103.454 (train). The time used is 28.538s. 
At iter 670/65582, epoch 1, the losses are 6.773 (train). the base losses are 103.824 (train). The time used is 16.602s. 
At iter 680/65582, epoch 1, the losses are 6.878 (train). the base losses are 102.953 (train). The time used is 14.326s. 
At iter 690/65582, epoch 1, the losses are 6.619 (train). the base losses are 104.003 (train). The time used is 21.832s. 
At iter 700/65582, epoch 1, the losses are 6.691 (train). the base losses are 102.044 (train). The time used is 16.371s. 
At iter 700/65582, epoch 1, the losses are 6.737 (test). the base losses are 102.454 (test). 
At iter 710/65582, epoch 1, the losses are 6.646 (train). the base losses are 101.712 (train). The time used is 24.737s. 
At iter 720/65582, epoch 1, the losses are 6.447 (train). the base losses are 103.905 (train). The time used is 16.776s. 
At iter 730/65582, epoch 1, the losses are 6.414 (train). the base losses are 102.707 (train). The time used is 16.500s. 
At iter 740/65582, epoch 1, the losses are 6.583 (train). the base losses are 103.185 (train). The time used is 12.016s. 
At iter 750/65582, epoch 1, the losses are 6.519 (train). the base losses are 103.432 (train). The time used is 11.579s. 
At iter 750/65582, epoch 1, the losses are 6.509 (test). the base losses are 104.147 (test). 
At iter 760/65582, epoch 1, the losses are 6.430 (train). the base losses are 102.976 (train). The time used is 24.202s. 
At iter 770/65582, epoch 1, the losses are 6.275 (train). the base losses are 104.574 (train). The time used is 14.448s. 
At iter 780/65582, epoch 1, the losses are 6.244 (train). the base losses are 103.648 (train). The time used is 15.466s. 
At iter 790/65582, epoch 1, the losses are 6.292 (train). the base losses are 103.956 (train). The time used is 16.045s. 
At iter 800/65582, epoch 1, the losses are 6.269 (train). the base losses are 105.289 (train). The time used is 14.123s. 
At iter 800/65582, epoch 1, the losses are 6.242 (test). the base losses are 101.883 (test). 
At iter 810/65582, epoch 1, the losses are 6.203 (train). the base losses are 103.244 (train). The time used is 30.707s. 
At iter 820/65582, epoch 1, the losses are 6.218 (train). the base losses are 104.636 (train). The time used is 19.920s. 
At iter 830/65582, epoch 1, the losses are 6.032 (train). the base losses are 103.898 (train). The time used is 12.969s. 
At iter 840/65582, epoch 1, the losses are 6.111 (train). the base losses are 103.587 (train). The time used is 13.478s. 
At iter 850/65582, epoch 1, the losses are 5.924 (train). the base losses are 101.325 (train). The time used is 14.369s. 
At iter 850/65582, epoch 1, the losses are 6.117 (test). the base losses are 104.052 (test). 
At iter 860/65582, epoch 1, the losses are 5.833 (train). the base losses are 104.220 (train). The time used is 20.457s. 
At iter 870/65582, epoch 1, the losses are 5.921 (train). the base losses are 103.605 (train). The time used is 15.956s. 
At iter 880/65582, epoch 1, the losses are 5.917 (train). the base losses are 102.095 (train). The time used is 17.201s. 
At iter 890/65582, epoch 1, the losses are 5.989 (train). the base losses are 102.334 (train). The time used is 17.516s. 
At iter 900/65582, epoch 1, the losses are 5.879 (train). the base losses are 102.845 (train). The time used is 12.678s. 
At iter 900/65582, epoch 1, the losses are 5.862 (test). the base losses are 103.558 (test). 
At iter 910/65582, epoch 1, the losses are 5.915 (train). the base losses are 103.867 (train). The time used is 26.153s. 
At iter 920/65582, epoch 1, the losses are 5.807 (train). the base losses are 102.340 (train). The time used is 20.458s. 
At iter 930/65582, epoch 1, the losses are 5.802 (train). the base losses are 103.401 (train). The time used is 17.204s. 
At iter 940/65582, epoch 1, the losses are 5.730 (train). the base losses are 101.837 (train). The time used is 11.430s. 
At iter 950/65582, epoch 1, the losses are 5.662 (train). the base losses are 103.502 (train). The time used is 11.620s. 
At iter 950/65582, epoch 1, the losses are 5.787 (test). the base losses are 104.925 (test). 
At iter 960/65582, epoch 1, the losses are 5.646 (train). the base losses are 102.568 (train). The time used is 28.537s. 
At iter 970/65582, epoch 1, the losses are 5.704 (train). the base losses are 102.966 (train). The time used is 14.984s. 
At iter 980/65582, epoch 1, the losses are 5.710 (train). the base losses are 102.041 (train). The time used is 16.636s. 
At iter 990/65582, epoch 1, the losses are 5.597 (train). the base losses are 104.499 (train). The time used is 11.499s. 
At iter 1000/65582, epoch 1, the losses are 5.632 (train). the base losses are 103.367 (train). The time used is 13.482s. 
At iter 1000/65582, epoch 1, the losses are 5.729 (test). the base losses are 103.368 (test). 
At iter 1010/65582, epoch 1, the losses are 5.601 (train). the base losses are 103.895 (train). The time used is 22.737s. 
At iter 1020/65582, epoch 1, the losses are 5.605 (train). the base losses are 104.191 (train). The time used is 14.098s. 
At iter 1030/65582, epoch 1, the losses are 5.587 (train). the base losses are 103.725 (train). The time used is 16.553s. 
At iter 1040/65582, epoch 1, the losses are 5.596 (train). the base losses are 104.879 (train). The time used is 10.795s. 
At iter 1050/65582, epoch 1, the losses are 5.440 (train). the base losses are 102.771 (train). The time used is 20.577s. 
At iter 1050/65582, epoch 1, the losses are 5.580 (test). the base losses are 103.016 (test). 
At iter 1060/65582, epoch 1, the losses are 5.522 (train). the base losses are 102.809 (train). The time used is 22.220s. 
At iter 1070/65582, epoch 1, the losses are 5.476 (train). the base losses are 103.061 (train). The time used is 11.674s. 
At iter 1080/65582, epoch 1, the losses are 5.462 (train). the base losses are 101.871 (train). The time used is 19.766s. 
At iter 1090/65582, epoch 1, the losses are 5.394 (train). the base losses are 103.652 (train). The time used is 15.768s. 
At iter 1100/65582, epoch 1, the losses are 5.402 (train). the base losses are 103.652 (train). The time used is 15.914s. 
At iter 1100/65582, epoch 1, the losses are 5.540 (test). the base losses are 104.747 (test). 
At iter 1110/65582, epoch 1, the losses are 5.441 (train). the base losses are 102.746 (train). The time used is 22.192s. 
At iter 1120/65582, epoch 1, the losses are 5.421 (train). the base losses are 103.173 (train). The time used is 19.515s. 
At iter 1130/65582, epoch 1, the losses are 5.404 (train). the base losses are 103.092 (train). The time used is 13.343s. 
At iter 1140/65582, epoch 1, the losses are 5.357 (train). the base losses are 103.447 (train). The time used is 7.106s. 
At iter 1150/65582, epoch 1, the losses are 5.315 (train). the base losses are 102.842 (train). The time used is 13.984s. 
