Running prime number generator program on 30 CPU cores
135745 5714
number of parameters: 1.69M
Adjusting learning rate of group 0 to 1.0000e-04.
At iter 10/135745, epoch 1, the losses are 105.468 (train). the base losses are 111.931 (train). The time used is 27.255s. 
At iter 20/135745, epoch 1, the losses are 98.548 (train). the base losses are 111.481 (train). The time used is 11.303s. 
At iter 30/135745, epoch 1, the losses are 90.504 (train). the base losses are 112.017 (train). The time used is 14.799s. 
At iter 40/135745, epoch 1, the losses are 61.977 (train). the base losses are 111.724 (train). The time used is 11.238s. 
At iter 50/135745, epoch 1, the losses are 39.337 (train). the base losses are 111.105 (train). The time used is 7.128s. 
At iter 50/135745, epoch 1, the losses are 28.047 (test). the base losses are 111.669 (test). 
At iter 60/135745, epoch 1, the losses are 20.863 (train). the base losses are 112.819 (train). The time used is 22.830s. 
At iter 70/135745, epoch 1, the losses are 6.551 (train). the base losses are 111.182 (train). The time used is 7.247s. 
At iter 80/135745, epoch 1, the losses are 5.507 (train). the base losses are 112.005 (train). The time used is 9.689s. 
At iter 90/135745, epoch 1, the losses are 5.427 (train). the base losses are 111.582 (train). The time used is 6.284s. 
At iter 100/135745, epoch 1, the losses are 5.506 (train). the base losses are 112.546 (train). The time used is 9.308s. 
At iter 100/135745, epoch 1, the losses are 5.447 (test). the base losses are 111.901 (test). 
At iter 110/135745, epoch 1, the losses are 5.500 (train). the base losses are 111.381 (train). The time used is 21.154s. 
At iter 120/135745, epoch 1, the losses are 5.449 (train). the base losses are 111.984 (train). The time used is 6.692s. 
At iter 130/135745, epoch 1, the losses are 5.451 (train). the base losses are 111.697 (train). The time used is 6.990s. 
At iter 140/135745, epoch 1, the losses are 5.409 (train). the base losses are 110.342 (train). The time used is 11.445s. 
At iter 150/135745, epoch 1, the losses are 5.444 (train). the base losses are 112.002 (train). The time used is 6.011s. 
At iter 150/135745, epoch 1, the losses are 5.429 (test). the base losses are 111.526 (test). 
At iter 160/135745, epoch 1, the losses are 5.406 (train). the base losses are 112.088 (train). The time used is 28.444s. 
At iter 170/135745, epoch 1, the losses are 5.454 (train). the base losses are 111.336 (train). The time used is 5.987s. 
At iter 180/135745, epoch 1, the losses are 5.457 (train). the base losses are 111.969 (train). The time used is 9.133s. 
At iter 190/135745, epoch 1, the losses are 5.447 (train). the base losses are 111.816 (train). The time used is 9.768s. 
At iter 200/135745, epoch 1, the losses are 5.439 (train). the base losses are 111.111 (train). The time used is 5.696s. 
At iter 200/135745, epoch 1, the losses are 5.446 (test). the base losses are 111.784 (test). 
At iter 210/135745, epoch 1, the losses are 5.407 (train). the base losses are 111.866 (train). The time used is 18.606s. 
At iter 220/135745, epoch 1, the losses are 5.426 (train). the base losses are 112.147 (train). The time used is 6.488s. 
At iter 230/135745, epoch 1, the losses are 5.443 (train). the base losses are 111.437 (train). The time used is 6.938s. 
At iter 240/135745, epoch 1, the losses are 5.435 (train). the base losses are 112.026 (train). The time used is 6.798s. 
At iter 250/135745, epoch 1, the losses are 5.421 (train). the base losses are 111.277 (train). The time used is 6.904s. 
At iter 250/135745, epoch 1, the losses are 5.435 (test). the base losses are 112.049 (test). 
At iter 260/135745, epoch 1, the losses are 5.476 (train). the base losses are 112.114 (train). The time used is 15.963s. 
At iter 270/135745, epoch 1, the losses are 5.477 (train). the base losses are 112.345 (train). The time used is 6.862s. 
At iter 280/135745, epoch 1, the losses are 5.449 (train). the base losses are 112.428 (train). The time used is 6.294s. 
