Running prime number generator program on 6 CPU cores
cuda
8116 12349
number of parameters: 25.24M
The current lr is [0.0001].
At iter 10/8116, epoch 1, the losses are 70.211 (train). the base losses are 103.229 (train). The time used is 167.892s. 
At iter 20/8116, epoch 1, the losses are 65.909 (train). the base losses are 103.698 (train). The time used is 162.385s. 
At iter 30/8116, epoch 1, the losses are 64.375 (train). the base losses are 103.425 (train). The time used is 147.042s. 
At iter 40/8116, epoch 1, the losses are 61.094 (train). the base losses are 103.622 (train). The time used is 167.232s. 
At iter 50/8116, epoch 1, the losses are 56.512 (train). the base losses are 103.324 (train). The time used is 165.895s. 
At iter 50/8116, epoch 1, the losses are 57.591 (test). the base losses are 104.507 (test). 
At iter 60/8116, epoch 1, the losses are 51.907 (train). the base losses are 103.093 (train). The time used is 180.884s. 
At iter 70/8116, epoch 1, the losses are 48.301 (train). the base losses are 103.156 (train). The time used is 157.867s. 
At iter 80/8116, epoch 1, the losses are 45.348 (train). the base losses are 103.035 (train). The time used is 154.486s. 
At iter 90/8116, epoch 1, the losses are 43.031 (train). the base losses are 103.398 (train). The time used is 169.899s. 
At iter 100/8116, epoch 1, the losses are 39.944 (train). the base losses are 103.305 (train). The time used is 142.128s. 
At iter 100/8116, epoch 1, the losses are 38.213 (test). the base losses are 105.617 (test). 
At iter 110/8116, epoch 1, the losses are 38.134 (train). the base losses are 102.974 (train). The time used is 163.281s. 
At iter 120/8116, epoch 1, the losses are 36.689 (train). the base losses are 103.580 (train). The time used is 164.448s. 
At iter 130/8116, epoch 1, the losses are 34.957 (train). the base losses are 103.564 (train). The time used is 153.994s. 
At iter 140/8116, epoch 1, the losses are 32.850 (train). the base losses are 102.712 (train). The time used is 157.323s. 
At iter 150/8116, epoch 1, the losses are 30.799 (train). the base losses are 103.106 (train). The time used is 157.212s. 
At iter 150/8116, epoch 1, the losses are 28.916 (test). the base losses are 106.247 (test). 
At iter 160/8116, epoch 1, the losses are 28.601 (train). the base losses are 102.920 (train). The time used is 177.760s. 
At iter 170/8116, epoch 1, the losses are 27.248 (train). the base losses are 103.507 (train). The time used is 155.568s. 
At iter 180/8116, epoch 1, the losses are 26.955 (train). the base losses are 103.609 (train). The time used is 161.440s. 
At iter 190/8116, epoch 1, the losses are 26.235 (train). the base losses are 103.068 (train). The time used is 154.648s. 
At iter 200/8116, epoch 1, the losses are 24.833 (train). the base losses are 102.812 (train). The time used is 158.904s. 
At iter 200/8116, epoch 1, the losses are 25.041 (test). the base losses are 105.484 (test). 
At iter 210/8116, epoch 1, the losses are 25.035 (train). the base losses are 102.780 (train). The time used is 165.179s. 
At iter 220/8116, epoch 1, the losses are 23.856 (train). the base losses are 103.570 (train). The time used is 157.133s. 
At iter 230/8116, epoch 1, the losses are 23.059 (train). the base losses are 102.977 (train). The time used is 151.430s. 
At iter 240/8116, epoch 1, the losses are 21.982 (train). the base losses are 103.068 (train). The time used is 171.318s. 
At iter 250/8116, epoch 1, the losses are 21.119 (train). the base losses are 103.040 (train). The time used is 161.675s. 
At iter 250/8116, epoch 1, the losses are 21.800 (test). the base losses are 105.499 (test). 
At iter 260/8116, epoch 1, the losses are 20.209 (train). the base losses are 103.503 (train). The time used is 179.044s. 
At iter 270/8116, epoch 1, the losses are 18.604 (train). the base losses are 103.518 (train). The time used is 155.622s. 
At iter 280/8116, epoch 1, the losses are 20.580 (train). the base losses are 103.389 (train). The time used is 150.647s. 
At iter 290/8116, epoch 1, the losses are 20.727 (train). the base losses are 103.002 (train). The time used is 166.308s. 
At iter 300/8116, epoch 1, the losses are 19.072 (train). the base losses are 103.034 (train). The time used is 163.209s. 
At iter 300/8116, epoch 1, the losses are 17.552 (test). the base losses are 102.871 (test). 
At iter 310/8116, epoch 1, the losses are 15.799 (train). the base losses are 103.180 (train). The time used is 162.551s. 
At iter 320/8116, epoch 1, the losses are 15.107 (train). the base losses are 102.905 (train). The time used is 146.268s. 
At iter 330/8116, epoch 1, the losses are 14.262 (train). the base losses are 102.708 (train). The time used is 160.694s. 
At iter 340/8116, epoch 1, the losses are 14.403 (train). the base losses are 103.095 (train). The time used is 165.359s. 
At iter 350/8116, epoch 1, the losses are 13.573 (train). the base losses are 103.171 (train). The time used is 160.152s. 
At iter 350/8116, epoch 1, the losses are 13.586 (test). the base losses are 106.765 (test). 
At iter 360/8116, epoch 1, the losses are 13.159 (train). the base losses are 103.241 (train). The time used is 165.224s. 
At iter 370/8116, epoch 1, the losses are 12.692 (train). the base losses are 103.381 (train). The time used is 157.244s. 
At iter 380/8116, epoch 1, the losses are 12.361 (train). the base losses are 103.348 (train). The time used is 155.531s. 
At iter 390/8116, epoch 1, the losses are 12.005 (train). the base losses are 103.525 (train). The time used is 160.460s. 
At iter 400/8116, epoch 1, the losses are 11.831 (train). the base losses are 103.014 (train). The time used is 165.516s. 
At iter 400/8116, epoch 1, the losses are 11.740 (test). the base losses are 103.845 (test). 
At iter 410/8116, epoch 1, the losses are 11.540 (train). the base losses are 103.107 (train). The time used is 165.781s. 
At iter 420/8116, epoch 1, the losses are 11.199 (train). the base losses are 103.599 (train). The time used is 158.708s. 
At iter 430/8116, epoch 1, the losses are 11.020 (train). the base losses are 103.247 (train). The time used is 166.634s. 
At iter 440/8116, epoch 1, the losses are 10.749 (train). the base losses are 102.754 (train). The time used is 157.580s. 
At iter 450/8116, epoch 1, the losses are 10.481 (train). the base losses are 103.374 (train). The time used is 161.908s. 
At iter 450/8116, epoch 1, the losses are 10.499 (test). the base losses are 106.789 (test). 
At iter 460/8116, epoch 1, the losses are 10.178 (train). the base losses are 103.087 (train). The time used is 169.887s. 
At iter 470/8116, epoch 1, the losses are 9.885 (train). the base losses are 103.200 (train). The time used is 150.793s. 
At iter 480/8116, epoch 1, the losses are 9.751 (train). the base losses are 103.457 (train). The time used is 154.120s. 
At iter 490/8116, epoch 1, the losses are 9.540 (train). the base losses are 103.271 (train). The time used is 161.495s. 
At iter 500/8116, epoch 1, the losses are 9.330 (train). the base losses are 102.527 (train). The time used is 165.627s. 
At iter 500/8116, epoch 1, the losses are 9.693 (test). the base losses are 102.907 (test). 
At iter 510/8116, epoch 1, the losses are 9.105 (train). the base losses are 103.243 (train). The time used is 165.302s. 
At iter 520/8116, epoch 1, the losses are 8.912 (train). the base losses are 103.054 (train). The time used is 164.816s. 
At iter 530/8116, epoch 1, the losses are 8.803 (train). the base losses are 103.226 (train). The time used is 149.598s. 
At iter 540/8116, epoch 1, the losses are 8.619 (train). the base losses are 103.400 (train). The time used is 165.620s. 
At iter 550/8116, epoch 1, the losses are 8.490 (train). the base losses are 102.772 (train). The time used is 166.245s. 
At iter 550/8116, epoch 1, the losses are 8.796 (test). the base losses are 103.502 (test). 
At iter 560/8116, epoch 1, the losses are 8.331 (train). the base losses are 103.514 (train). The time used is 172.540s. 
At iter 570/8116, epoch 1, the losses are 8.180 (train). the base losses are 103.681 (train). The time used is 158.727s. 
At iter 580/8116, epoch 1, the losses are 8.000 (train). the base losses are 103.067 (train). The time used is 148.647s. 
At iter 590/8116, epoch 1, the losses are 7.904 (train). the base losses are 103.607 (train). The time used is 154.147s. 
At iter 600/8116, epoch 1, the losses are 7.784 (train). the base losses are 103.100 (train). The time used is 161.365s. 
At iter 600/8116, epoch 1, the losses are 7.882 (test). the base losses are 104.235 (test). 
At iter 610/8116, epoch 1, the losses are 7.616 (train). the base losses are 102.693 (train). The time used is 175.229s. 
At iter 620/8116, epoch 1, the losses are 7.576 (train). the base losses are 103.327 (train). The time used is 168.116s. 
At iter 630/8116, epoch 1, the losses are 7.458 (train). the base losses are 102.891 (train). The time used is 155.480s. 
At iter 640/8116, epoch 1, the losses are 7.363 (train). the base losses are 103.195 (train). The time used is 164.486s. 
At iter 650/8116, epoch 1, the losses are 7.220 (train). the base losses are 102.984 (train). The time used is 169.074s. 
At iter 650/8116, epoch 1, the losses are 7.256 (test). the base losses are 105.981 (test). 
At iter 660/8116, epoch 1, the losses are 7.136 (train). the base losses are 103.510 (train). The time used is 172.602s. 
At iter 670/8116, epoch 1, the losses are 7.089 (train). the base losses are 102.711 (train). The time used is 149.254s. 
At iter 680/8116, epoch 1, the losses are 7.007 (train). the base losses are 103.590 (train). The time used is 156.569s. 
At iter 690/8116, epoch 1, the losses are 6.935 (train). the base losses are 103.553 (train). The time used is 146.193s. 
At iter 700/8116, epoch 1, the losses are 6.867 (train). the base losses are 103.538 (train). The time used is 164.727s. 
At iter 700/8116, epoch 1, the losses are 7.023 (test). the base losses are 105.200 (test). 
At iter 710/8116, epoch 1, the losses are 6.801 (train). the base losses are 103.825 (train). The time used is 148.772s. 
At iter 720/8116, epoch 1, the losses are 6.706 (train). the base losses are 103.258 (train). The time used is 151.135s. 
At iter 730/8116, epoch 1, the losses are 6.637 (train). the base losses are 103.453 (train). The time used is 164.917s. 
At iter 740/8116, epoch 1, the losses are 6.691 (train). the base losses are 103.624 (train). The time used is 153.459s. 
At iter 750/8116, epoch 1, the losses are 6.541 (train). the base losses are 102.765 (train). The time used is 167.509s. 
At iter 750/8116, epoch 1, the losses are 6.629 (test). the base losses are 104.945 (test). 
At iter 760/8116, epoch 1, the losses are 6.482 (train). the base losses are 102.862 (train). The time used is 164.698s. 
At iter 770/8116, epoch 1, the losses are 6.393 (train). the base losses are 103.129 (train). The time used is 153.878s. 
At iter 780/8116, epoch 1, the losses are 6.311 (train). the base losses are 103.008 (train). The time used is 154.590s. 
At iter 790/8116, epoch 1, the losses are 6.288 (train). the base losses are 103.894 (train). The time used is 175.625s. 
At iter 800/8116, epoch 1, the losses are 6.242 (train). the base losses are 102.484 (train). The time used is 157.696s. 
At iter 800/8116, epoch 1, the losses are 6.467 (test). the base losses are 106.401 (test). 
At iter 810/8116, epoch 1, the losses are 6.135 (train). the base losses are 103.177 (train). The time used is 149.304s. 
At iter 820/8116, epoch 1, the losses are 6.164 (train). the base losses are 103.404 (train). The time used is 158.566s. 
At iter 830/8116, epoch 1, the losses are 6.100 (train). the base losses are 103.112 (train). The time used is 166.815s. 
At iter 840/8116, epoch 1, the losses are 6.067 (train). the base losses are 103.112 (train). The time used is 154.024s. 
At iter 850/8116, epoch 1, the losses are 6.063 (train). the base losses are 102.975 (train). The time used is 168.940s. 
At iter 850/8116, epoch 1, the losses are 6.096 (test). the base losses are 101.439 (test). 
At iter 860/8116, epoch 1, the losses are 6.022 (train). the base losses are 103.325 (train). The time used is 165.584s. 
At iter 870/8116, epoch 1, the losses are 5.960 (train). the base losses are 103.322 (train). The time used is 146.268s. 
At iter 880/8116, epoch 1, the losses are 5.894 (train). the base losses are 103.274 (train). The time used is 171.209s. 
At iter 890/8116, epoch 1, the losses are 5.878 (train). the base losses are 102.915 (train). The time used is 155.203s. 
