Running prime number generator program on 5 CPU cores
cuda
{'nfeature': 19, 'ndim': 512, 'dropout': 0.5, 'n_layer': 8, 'n_head': 8, 'is_mask': True, 'is_bias': True, 'block_size': 256, 'batch_size': 64, 'move_step': 10, 'fs': 90, 'target_dim': 19, 'k': 6}
DisMSELoss_step10_dis6_nlay8_ndim512
8116 12349
number of parameters: 25.24M
The current lr is [0.0001].
At iter 2/8116, epoch 1, the losses are 0.224 (train). the base losses are 0.129 (train). The time used is 28.377s. 
At iter 4/8116, epoch 1, the losses are 0.234 (train). the base losses are 0.116 (train). The time used is 21.685s. 
At iter 6/8116, epoch 1, the losses are 0.230 (train). the base losses are 0.115 (train). The time used is 14.460s. 
At iter 8/8116, epoch 1, the losses are 0.237 (train). the base losses are 0.120 (train). The time used is 20.456s. 
At iter 10/8116, epoch 1, the losses are 0.231 (train). the base losses are 0.117 (train). The time used is 16.737s. 
At iter 12/8116, epoch 1, the losses are 0.230 (train). the base losses are 0.110 (train). The time used is 19.453s. 
At iter 14/8116, epoch 1, the losses are 0.230 (train). the base losses are 0.117 (train). The time used is 18.659s. 
At iter 16/8116, epoch 1, the losses are 0.235 (train). the base losses are 0.120 (train). The time used is 19.612s. 
At iter 18/8116, epoch 1, the losses are 0.231 (train). the base losses are 0.119 (train). The time used is 24.433s. 
At iter 20/8116, epoch 1, the losses are 0.225 (train). the base losses are 0.120 (train). The time used is 23.212s. 
At iter 22/8116, epoch 1, the losses are 0.218 (train). the base losses are 0.117 (train). The time used is 20.191s. 
At iter 24/8116, epoch 1, the losses are 0.224 (train). the base losses are 0.115 (train). The time used is 21.041s. 
At iter 26/8116, epoch 1, the losses are 0.234 (train). the base losses are 0.123 (train). The time used is 14.635s. 
At iter 28/8116, epoch 1, the losses are 0.228 (train). the base losses are 0.114 (train). The time used is 16.086s. 
At iter 30/8116, epoch 1, the losses are 0.218 (train). the base losses are 0.113 (train). The time used is 18.401s. 
At iter 32/8116, epoch 1, the losses are 0.232 (train). the base losses are 0.119 (train). The time used is 20.611s. 
At iter 34/8116, epoch 1, the losses are 0.225 (train). the base losses are 0.121 (train). The time used is 24.223s. 
At iter 36/8116, epoch 1, the losses are 0.232 (train). the base losses are 0.113 (train). The time used is 18.231s. 
At iter 38/8116, epoch 1, the losses are 0.223 (train). the base losses are 0.116 (train). The time used is 19.947s. 
At iter 40/8116, epoch 1, the losses are 0.219 (train). the base losses are 0.112 (train). The time used is 19.455s. 
At iter 42/8116, epoch 1, the losses are 0.222 (train). the base losses are 0.110 (train). The time used is 18.080s. 
